Wall time,Step,Value
1764559459.7930853,12310,521365.5625
1764559464.4950886,12397,484049.3125
1764559465.2130504,12406,530160.0625
1764559466.888515,12437,471319.875
1764559468.0774748,12459,485961.9375
1764559469.2701094,12481,516395.96875
1764559472.8152277,12546,549111.0
1764559473.2507823,12554,484246.09375
1764559475.5764363,12597,513451.09375
1764559477.3559442,12626,477317.78125
1764559479.8544898,12672,489262.53125
1764559481.3969426,12700,468381.71875
1764559484.6071234,12759,497674.8125
1764559485.4797282,12775,527240.625
1764559487.3680856,12806,522076.5
1764559488.938744,12835,541969.875
1764559490.2878036,12860,443382.25
1764559490.5595384,12865,488552.6875
1764559491.2627728,12878,499187.1875
1764559492.2956257,12897,510201.40625
1764559494.5932786,12939,455835.875
1764559494.6474304,12940,463339.28125
1764559495.730474,12960,457901.5
1764559499.0658317,13018,498917.125
1764559499.9858105,13035,483585.75
1764559501.44034,13062,467209.59375
1764559501.4937384,13063,490950.40625
1764559501.9236755,13071,500269.09375
1764559502.5748699,13083,527627.3125
1764559503.2280357,13095,547528.6875
1764559504.0428333,13110,552542.6875
1764559504.2593832,13114,473902.90625
1764559505.1821425,13131,659769.125
1764559507.1324818,13167,493528.375
1764559507.9393678,13182,552061.625
1764559508.4799824,13192,491458.5
1764559508.641372,13195,609380.1875
1764559509.5041454,13207,503066.46875
1764559509.558726,13208,536442.75
1764559509.7749517,13212,502409.65625
1764559511.290191,13240,485157.34375
1764559512.7014525,13266,496813.75
1764559514.4912236,13299,528125.75
1764559515.3036346,13314,494901.5625
1764559517.2578626,13350,464776.625
1764559520.4965158,13403,488007.9375
1764559520.7125013,13407,511093.375
1764559521.795797,13427,480179.5625
1764559524.4514291,13476,491719.6875
1764559526.026127,13505,487023.78125
1764559528.305324,13547,481581.40625
1764559531.0829754,13598,481621.6875
1764559532.1131845,13613,485183.59375
1764559532.5553498,13621,475995.875
1764559532.8808541,13627,496887.8125
1764559535.5886593,13677,510630.6875
1764559535.75053,13680,451966.4375
1764559535.9127514,13683,522632.90625
1764559536.6200724,13696,508604.78125
1764559538.083481,13723,441763.125
1764559539.4323795,13748,502114.0
1764559539.8120131,13755,487536.6875
1764559541.0178246,13777,498224.25
1764559543.0751865,13811,493525.03125
1764559544.974207,13846,538798.125
1764559546.228454,13869,478110.125
1764559546.3926911,13872,524794.625
1764559547.096343,13885,491864.625
1764559549.9683995,13938,515006.59375
1764559550.0218296,13939,466359.4375
1764559551.0509965,13958,508768.46875
1764559551.213252,13961,495459.5
1764559551.7027686,13970,454838.9375
1764559551.7569525,13971,502192.0625
1764559552.083161,13977,455504.8125
1764559553.1805937,13997,481438.75
1764559553.289556,13999,523550.25
1764559557.9644196,14081,468992.84375
1764559558.2979784,14087,492395.28125
1764559562.3807657,14162,499219.09375
1764559565.861832,14222,473385.875
1764559566.189479,14228,469934.5
1764559567.441409,14251,522882.125
1764559569.4660065,14288,491606.46875
1764559569.5199122,14289,460901.40625
1764559569.8450959,14295,478140.0
1764559570.3338363,14304,488794.03125
1764559571.2548664,14321,474900.0
1764559571.9070895,14333,498833.59375
1764559572.2325406,14339,597094.6875
1764559573.3159225,14359,492345.21875
1764559575.4345567,14398,461295.4375
1764559578.359043,14448,563407.625
1764559579.6584258,14472,520973.75
1764559581.0482893,14495,533192.3125
1764559582.9989438,14531,556546.4375
1764559584.3017912,14555,509680.875
1764559584.4644086,14558,482321.84375
1764559588.7630963,14633,467570.625
1764559589.0884624,14639,482926.40625
1764559590.720501,14669,447043.875
1764559591.2132156,14678,481971.875
1764559591.4331794,14682,787525.5
1764559591.7597718,14688,484164.03125
1764559594.9615643,14747,455543.5625
1764559596.7567542,14780,452284.09375
1764559596.8104744,14781,579759.6875
1764559597.2460914,14789,462591.375
1764559597.4633574,14793,493851.625
1764559598.601915,14810,503722.3125
1764559598.9347546,14816,495846.5
1764559599.1521218,14820,440688.375
1764559600.630075,14847,546272.5
1764559602.1010742,14874,469900.375
1764559603.1332052,14893,461787.21875
1764559604.8661525,14925,530977.75
1764559604.9205053,14926,493135.53125
1764559604.974507,14927,466285.65625
1764559606.2795286,14951,486819.375
1764559610.6992238,15028,505799.75
1764559614.156133,15091,446861.65625
1764559616.437834,15133,478569.90625
1764559616.6571417,15137,494961.1875
1764559619.0468874,15181,457293.65625
1764559620.0735905,15200,473404.125
1764559622.3061216,15237,502854.125
1764559623.9339218,15267,514665.25
1764559624.3127122,15274,454846.96875
1764559624.853512,15284,483597.59375
1764559627.082043,15325,482298.53125
1764559628.0066483,15342,480283.6875
1764559628.3314805,15348,462028.0625
1764559628.7104723,15355,480242.0
1764559631.4844842,15402,629343.625
1764559631.7622473,15407,603267.125
1764559632.6403897,15423,592426.875
1764559632.9636416,15429,587828.625
1764559633.5057433,15439,562207.8125
1764559634.4842117,15457,572202.875
1764559635.4107902,15474,611345.3125
1764559635.5187452,15476,546648.75
1764559637.2598116,15508,519936.28125
1764559638.9622436,15539,585944.25
1764559641.5142345,15586,520116.4375
1764559642.3185577,15598,549991.75
1764559643.1301312,15609,504766.6875
1764559648.3373935,15704,503784.03125
1764559650.3622668,15741,497763.8125
1764559651.667765,15765,518119.3125
1764559652.158745,15774,533222.875
1764559652.48547,15780,499236.25
1764559653.2960367,15795,491068.9375
1764559655.1991298,15826,508229.8125
1764559655.3621483,15829,506985.5
1764559656.398129,15848,501697.96875
1764559657.430103,15867,481494.78125
1764559663.579484,15980,511583.9375
1764559664.0162947,15988,521119.5625
1764559664.343724,15994,464881.625
1764559665.8621967,16018,477049.84375
1764559667.9879785,16057,491449.46875
1764559669.4521003,16084,502778.375
1764559670.110844,16096,483333.6875
1764559671.2655468,16117,496035.625
1764559674.4579384,16176,493387.25
1764559675.1618268,16189,540007.9375
1764559675.7015412,16199,480673.21875
1764559676.134115,16203,473797.28125
1764559678.6728506,16250,460266.71875
1764559682.5807676,16322,471283.8125
1764559683.7665932,16344,580509.0625
1764559683.9830313,16348,475791.75
1764559684.145175,16351,539808.6875
1764559684.6861393,16361,573799.625
1764559685.7708867,16381,498956.40625
1764559687.3959513,16407,586558.375
1764559689.2428827,16441,474302.9375
1764559689.7319398,16450,506187.40625
1764559692.7820592,16506,466759.25
1764559695.7206156,16560,492333.0625
1764559697.1339161,16586,569167.875
1764559697.4038377,16591,452322.15625
1764559701.481177,16662,512973.3125
1764559701.6973066,16666,474387.0
1764559703.433009,16698,532615.125
1764559706.2515845,16747,515365.5
1764559707.337683,16767,501316.75
1764559709.0800846,16799,456149.84375
1764559709.838439,16809,485894.8125
1764559709.893114,16810,446659.71875
1764559711.2512786,16835,450578.1875
1764559711.740045,16844,442282.84375
1764559712.5007243,16858,480124.25
1764559714.7758071,16900,471184.90625
1764559716.1397624,16925,468113.09375
1764559720.2017815,17000,454814.0
1764559724.0513244,17067,514427.5
1764559725.7326126,17098,467676.3125
1764559727.5873559,17132,458872.15625
1764559727.641011,17133,471830.875
1764559728.8376565,17155,455041.21875
1764559730.9085343,17193,444055.6875
1764559731.183474,17198,465853.78125
1764559731.6667476,17203,496407.875
1764559733.6785734,17240,497725.96875
1764559734.1129675,17248,448583.0
1764559734.8748186,17262,567371.125
1764559735.4707916,17273,490437.5
1764559736.4529605,17291,463201.375
1764559736.5617998,17293,519015.0625
1764559737.8127894,17316,468395.84375
